"Mês","Turno","Turma","Material","VarConsumo_Quimica","VarConsumo_Eletrica","VarTempoProcesso"
"10",0,0,1,2.8876403027930047,11.616725781933761,1.92125
"10",0,0,1,2.9080452479120416,12.661455321107193,0.965
"10",1,3,1,3.0528621273361662,12.40604024799888,0.9975
"10",1,3,0,2.9327438731379147,11.597930859032704,0.99625
"10",1,3,0,3.085480043149946,12.592804111936037,1.225
"10",1,3,0,2.761189240207645,11.498209477278404,1.44125
"10",1,3,0,2.7583258535288055,11.595163646390041,1.5225
"10",1,3,0,2.775255486144482,11.326568109223507,0.96625
"10",1,3,0,3.746363772679562,14.375115768304623,1.59125
"10",2,2,0,2.861287856121804,12.129016361705748,1.34375
"10",2,2,0,2.6673985227349735,12.532437248125516,0.95625
"10",2,2,0,2.6793770646531385,11.678649751547622,1.37875
"10",2,2,0,2.9945660217782004,12.748518373413432,1.80625
"10",2,2,0,3.1360071855459983,12.710856961708926,2.29625
"10",2,2,0,2.807870007830854,12.44299599244553,1.0275
"10",2,2,0,2.9009532798489857,12.511451017405546,2.00625
"10",2,2,0,2.709085469233071,12.214080805354953,1.2525
"10",0,0,7,2.7655619190686322,11.266547741996057,1.49125
"10",0,0,7,3.0542425468771075,12.289618396933845,1.44
"10",0,0,7,3.64480274175332,14.944709043799785,1.215
"10",0,0,7,2.932839987017202,12.37184260266911,1.10875
"10",0,0,7,3.4528396166610733,14.256759869178682,2.26625
"10",0,0,7,3.353201327516128,14.533142936109448,1.8225
"10",2,2,0,2.7516505435324623,12.59833743011516,1.84
"10",2,2,0,3.207454089584604,12.045131124212238,3.19125
"10",2,2,0,2.9456178533181334,12.375558576627874,1.09625
"10",0,0,6,3.0638630745642854,11.90219822088227,2.41625
"10",2,2,6,3.421188405797101,14.533248081841432,2.28375
"10",2,2,6,2.9614603111155526,12.782228910350991,1.6975
"10",0,0,6,3.0502046686580373,13.848486623325067,1.12125
"10",0,0,6,3.2235320840431574,13.932591776063065,0.785
"10",0,0,6,2.5949329547247193,11.19679296233401,1.95375
"10",0,0,6,2.7517533139042962,11.513639958192545,3.3475
"10",0,0,6,3.1941548362672725,13.782276113170994,1.175
"10",0,0,6,2.708019178339758,12.077708774588146,1.4975
"10",0,0,6,3.1667520130617093,14.134541716051888,1.59125
"10",1,1,6,2.908967624157073,13.178916363684179,2.625
"10",1,1,6,2.9036356038445468,12.299968044050049,1.13125
"10",2,2,6,2.611661030843324,12.645943714097996,3.1225
"10",2,2,6,3.212768094110896,13.351434828288966,1.125
"10",2,2,6,3.034601116165038,11.675898463517798,1.67375
"10",2,2,6,2.977617815768755,13.255307746763085,1.35625
"10",2,2,6,2.589816829029919,11.47762613983454,1.7525
"10",2,2,6,2.8648948579715627,11.961655938266729,1.31375
"10",0,0,6,3.22428586944716,12.694944383748938,1.5125
"10",2,2,6,2.6175226205113655,11.455371896228462,1.51625
"10",0,0,3,3.48173901783691,12.433661431941914,3.31125
"10",0,0,3,3.0247186831581883,11.247203242870663,3.1525
"10",1,1,5,3.267914305065412,12.8013990325036,1.8475
"10",0,0,5,2.928446327683616,12.490653040877367,1.1
"10",1,1,6,3.516698113207547,14.341703662597114,1.30375
"10",1,1,6,2.9747282982528542,12.232647908523706,0.955
"10",2,2,6,2.60312452230273,10.892846545203426,2.535
"10",2,2,6,3.2558673820332924,12.97917020708407,2.0325
"10",2,2,6,3.3136764874469793,14.023103222717495,1.975
"10",2,2,6,2.7445330331738735,11.77187881061814,1.7125
"10",2,2,6,3.3028443948689348,13.910304780026902,1.465
"10",2,2,6,3.334626496079241,13.340292782403923,2.22125
"10",2,2,6,3.074142674988256,12.446855126185767,2.44375
"10",0,0,6,2.8180524796993494,12.538637359513968,1.2275
"10",0,0,6,3.0302161398935596,14.445530574562833,1.65375
"10",1,1,6,2.618946540880503,12.954356270810209,1.86125
"10",1,1,2,3.2215120935447707,14.47974672810018,1.0525
"10",1,1,2,3.2697303128371087,13.490703724855637,1.10625
"10",1,1,2,3.1583113098868334,12.675938437989549,1.41
"10",2,0,2,3.066725397349778,13.988482740304578,1.08875
"10",2,0,2,3.184855079973745,12.915084159894656,1.54375
"10",2,0,2,2.9484030113727373,12.451592842807473,1.2275
"10",2,0,2,3.1587486515641854,13.633479281680309,1.00375
"10",2,0,2,2.6205990709594746,12.132176272719564,1.26
"10",2,0,2,2.8109855943621103,12.564544939128103,1.75875
"10",2,0,2,2.747780426296335,12.293258063926162,1.1725
"10",2,0,2,2.509544230577441,12.234613602097866,1.42125
"10",2,0,2,3.0165220571124634,12.296211992326601,1.76
"10",0,3,2,3.3002699055330633,13.786351247651556,0.99625
"10",0,3,0,3.0307099973897156,11.777949237643373,1.51875
"10",0,3,2,2.3261380746436005,12.279164428866213,3.35125
"10",0,3,2,2.7121508744453147,11.988115528121979,1.19125
"10",0,3,2,2.7476985999685386,11.598145629181356,1.2475
"10",0,3,7,2.80620940504027,11.897666315162075,1.24125
"10",0,3,7,2.7037566137566142,12.041900093370682,1.23125
"10",0,3,7,3.2206379249912374,12.853343230036495,1.23125
"10",0,3,7,2.664176714108724,10.993083662619249,1.67375
"10",1,1,7,3.134191200363944,12.911013498790041,1.0275
"10",1,1,0,3.000149081791692,12.514499599392513,1.18125
"10",1,1,7,3.525313874879279,13.549168996925951,1.32625
"10",1,1,0,2.8086530931871576,11.7405223639965,1.65875
"10",1,1,0,3.0087539295954677,12.802301975821939,1.0225
"10",1,1,0,2.791861972673781,12.225813832065189,1.16875
"10",2,0,0,3.1144518448038903,13.519648265268684,0.89125
"10",1,1,0,3.0953310293420078,12.98984729081712,1.63125
"10",1,1,0,2.600352394682044,11.496169827854256,1.31625
"10",2,0,0,2.6244454931571495,12.072842350720373,1.265
"10",2,0,0,2.8691855912294444,11.708853470910682,1.6375
"10",2,0,0,3.353067625189414,13.737305896034277,1.12875
"10",2,0,0,3.102121027309074,13.617664996472264,2.7125
"10",2,0,0,2.966536152440616,12.451632963287116,1.79375
"10",2,0,0,3.1045587057504407,12.301777991350312,1.87125
"10",2,0,0,2.707501524700142,12.666969613623046,1.07875
"10",2,0,0,2.786811389019978,11.503761485717458,1.25875
"10",0,3,2,3.137484582584487,13.625367685926257,1.6
"10",0,3,2,2.680237065513375,11.612064335585266,1.12125
"10",0,3,2,3.06221613155834,11.965083605877748,1.94625
"10",0,3,2,3.151914345734228,12.79851237099841,1.5825
"10",0,3,2,3.174832282984347,12.583260586202362,1.3575
"10",0,3,2,3.1797626752966557,12.859318484675423,1.61375
"10",0,3,2,3.5478771548001515,13.649692439935867,1.85
"10",1,2,2,2.8155478027980405,12.645908347481079,1.35
"10",1,2,2,3.0059764397001416,12.396895746587578,1.3275
"10",1,2,2,2.9228318708813474,13.668899212079376,1.88125
"10",2,0,7,3.2625026288117773,13.898682501391724,1.6975
"10",2,0,7,3.1068114511352416,13.84614391989109,1.6
"10",2,0,7,2.8772995780590715,12.789965061000057,2.17875
"10",2,0,0,3.0603491910940255,12.725782287927185,1.20125
"10",0,3,6,3.1820792561766584,13.295004201208096,1.425
"10",0,3,6,3.2044259492241687,12.811608723621065,1.47125
"10",0,3,6,2.856879254169489,12.450116986695965,1.31125
"10",0,3,6,3.148114952340304,12.772714719690693,1.24875
"10",0,3,6,2.876433683281314,12.264870007399535,1.2
"10",0,3,6,3.5756419364660506,13.280517728252368,2.91875
"10",1,2,6,3.1920572346327933,12.490015717193579,2.39125
"10",2,0,6,3.131973341452688,12.86857988907529,1.92125
"10",2,0,6,3.104597584492033,12.510373072399567,1.06625
"10",2,0,6,3.0948974536807685,12.967636276743928,2.18375
"10",2,0,6,3.147035649082349,12.271152335249464,1.75
"10",2,0,6,3.312355743779778,13.331049730638682,2.22875
"10",2,0,6,2.9357791433550395,11.872069748746972,1.4225
"10",2,0,6,3.443704051306116,15.009523283738648,3.01
"10",0,3,6,3.1820722764789053,12.859124117240858,1.735
"10",1,2,6,2.7144238574201514,12.599258867125464,1.4125
"10",2,0,6,3.123012121796727,12.202179994212404,1.7625
"10",2,0,6,2.9983229752392226,12.000301748399863,2.8225
"10",2,0,6,3.292476229847044,13.514335043649538,1.50375
"10",2,0,6,3.0725919801570893,13.882134085548232,1.2375
"10",2,0,6,3.253940387768882,12.346869875566702,2.11125
"10",2,0,6,3.058371227780074,12.626753884687401,1.24
"10",2,0,6,3.222412942685213,13.041914013311745,2.14375
"10",2,0,6,3.1829843538090046,13.408519108745017,2.585
"10",0,1,6,3.0094720848285004,12.16576243532036,1.8125
"10",0,1,6,3.7895455515254963,14.25093186410472,2.15375
"10",2,3,2,2.790093414447658,11.205040508274717,1.21125
"10",2,3,2,3.171945517381582,11.820910515049688,2.6
"10",2,3,2,2.592088990223512,12.20790938408735,1.56
"10",2,3,2,3.8057630569258474,14.35352153546408,1.40625
"10",2,3,2,3.411100539169045,12.944410241102466,1.9
"10",2,3,2,3.448623885541107,12.708096241985533,1.51375
"10",0,1,2,3.094684352248928,12.152482415126217,1.35875
"10",0,1,2,3.728621273361661,14.335530045783472,1.83375
"10",2,3,2,3.6056643174105973,12.88060251508591,1.91625
"10",0,1,2,3.174047972304649,12.136716704485949,2.81375
"10",0,1,2,3.179130775254503,12.512091759178222,1.52125
"10",0,1,2,2.939728530409815,11.970841586438805,0.95
"10",0,1,2,3.094585620383547,12.891190222785598,1.4475
"10",1,2,1,3.757486326762838,14.173095733172687,1.5875
"10",1,2,1,2.7905275399090814,12.546407716273949,1.385
"10",0,1,2,2.9723179326546596,12.057211294854667,1.675
"10",0,1,1,3.2193806329199703,13.085514750726475,1.36
"10",0,1,4,3.228082474226804,12.04972710733778,3.075
"10",1,0,4,3.135542328042328,12.415382819794585,1.105
"10",1,0,4,3.5818694158075597,13.256519102486356,1.665
"10",1,0,4,3.030252780586451,11.767679771605303,1.0725
"10",1,0,4,3.229642857142857,12.704248366013072,1.1275
"10",1,0,4,3.0481159420289856,12.225658716469397,1.40375
"10",1,0,4,2.719120274914089,12.686476652516676,1.26
"10",1,0,4,3.1557892430715304,13.963258652129928,1.18375
"10",1,0,4,3.1543518518518523,12.179038281979459,1.85625
"10",1,0,4,2.5934608030592736,12.343943313463052,1.1775
"10",1,0,4,3.076164948453608,12.832019405700423,1.4725
"10",2,3,4,3.2640687285223366,12.401455427531838,1.5225
"10",2,3,4,3.4588453608247423,12.962401455427532,1.5725
"10",2,3,4,3.849583288621812,13.555481211692747,1.8
"10",2,3,4,3.126574074074074,11.615896358543418,2.225
"10",2,3,4,3.2406746031746034,12.33951914098973,1.6675
"10",2,3,4,3.5520502428159344,13.721624042321494,1.2275
"10",2,3,4,3.060899470899471,12.170284780578898,0.98875
"10",2,3,4,3.6029894179894177,12.567110177404295,1.2075
"10",2,3,4,3.3574707903780068,12.868405093996362,2.30875
"10",0,1,2,3.7717080186983094,13.861920172599785,1.99375
"10",0,1,2,3.3471166226197737,12.326154287695969,2.4975
"10",0,1,2,3.1809717422240293,12.12286093538859,1.78375
"10",0,1,2,3.5079483163664844,12.546639642544568,2.60625
"10",0,1,2,3.78058179637127,14.927495964647667,2.665
"10",0,1,2,3.3701383450796136,12.163733935234236,1.1275
"10",1,0,2,3.76980056980057,14.920880632954935,2.57875
"10",1,0,2,2.9899425591147764,12.546407716273949,1.2375
"10",1,0,2,3.5836145558040253,13.237984764957009,1.815
"10",2,3,6,3.202056015944614,12.569341174002382,1.335
"10",2,3,6,3.2812735204982184,11.821713399117264,3.23375
"10",2,3,6,3.710473970473971,14.088852324146442,2.03125
"10",2,3,6,3.4211606054085073,13.351434828288966,2.34625
"10",2,3,6,3.442385472554684,12.184093612682382,3.1975
"10",0,1,5,3.471452480148133,13.419255107234648,1.11
"10",0,1,5,3.4146213088741826,14.738323054753076,1.3375
"10",0,1,3,2.9771130750056654,12.108038320698777,1.9125
"10",0,1,5,2.694439477918827,11.647963315488898,1.45375
"10",0,1,5,2.9445768295311106,11.482731080794746,1.16625
"10",0,1,5,3.246294644332111,13.147691428638062,1.69625
"10",0,1,5,3.586566272260069,15.11891956495757,1.475
"10",1,0,5,3.0051540074181586,12.342411565497027,1.38125
"10",1,0,5,3.2572746677683675,13.481657897614738,2.56625
"10",1,0,6,3.400014571948998,12.735454837672775,1.1425
"10",2,3,6,3.9371140966195064,13.773979452677517,2.6525
"10",2,3,6,3.3464909673370977,12.212890704681755,2.95625
"10",2,3,6,2.7057983076709666,12.392597488433575,1.8775
"10",0,2,6,3.3209382308433075,12.906338763322085,1.41625
"10",0,2,6,3.061094286291137,12.612676809064025,1.69625
