"Mês","Dia","Turma (to number)","Material (to number)","VarConsumo_Quimica","VarConsumo_Eletrica","VarTempoProcesso"
"11","12",2,2,3.167057035271358,13.414983570379132,1.6225
"11","12",2,2,2.841581832419734,12.434359021603946,1.54
"11","11",0,8,2.9847087910368355,12.277223348263348,1.6599999999999997
"11","11",0,8,3.071910269891342,13.484258056534918,1.43125
"11","11",3,8,3.663039668061666,13.893184701716292,3.36625
"11","11",3,8,2.988994708994709,12.269491129785248,1.2275
"11","11",3,8,3.4787079037800694,13.805336567616738,2.21875
"11","11",2,8,3.477868068833651,15.204982566640421,1.1375
"11","10",2,8,3.2991615120274917,12.707701637355974,0.975
"11","10",2,8,3.300370370370371,12.523342670401494,1.0775
"11","10",2,8,3.036272684120203,13.47354584291817,1.30375
"11","10",2,8,3.100567823343848,12.810045153708172,1.2475
"11","10",0,2,3.0564071288202213,13.064587493871304,1.01875
"11","10",0,2,3.081357999593413,12.735730600432893,1.19375
"11","10",0,2,3.039323936309058,11.916140771108758,1.0875
"11","10",0,0,2.8328834355828225,12.841795519529189,1.23375
"11","10",0,0,3.171372737465961,12.420499194391837,1.215
"11","10",3,0,3.2155318340415238,12.244487389732553,1.4037499999999998
"11","10",3,0,3.0136498121737976,12.293278735649043,1.39
"11","10",3,0,3.087444531453929,12.016905430927265,1.7725
"11","10",3,0,3.2784395154947306,12.641923215723287,1.85
"11","10",3,0,3.091059775515532,12.19828181860058,1.05625
"11","09",2,0,3.259184025978513,12.887650655660751,1.02125
"11","09",2,0,3.466229693061282,13.46056976548945,1.5962499999999997
"11","09",2,0,3.0350613268279463,12.879231790296929,1.5975000000000001
"11","09",0,0,3.0789800870981687,12.72153421057263,1.17875
"11","09",0,0,3.221847677936239,11.926621650954191,1.21
"11","09",0,0,3.0193304501041167,11.417022359159906,1.6937499999999999
"11","09",0,0,3.066346307864808,11.988014811883428,1.615
"11","09",0,0,3.5851851851851846,13.246398883177864,2.18125
"11","09",1,2,3.371420516615569,13.009707530332145,0.9600000000000001
"11","09",1,19,2.773403820132792,11.23661019208023,1.01875
"11","09",1,19,2.997755287401064,11.929567467313902,1.15875
"11","09",1,20,2.761472571532714,11.824740831269633,1.4025
"11","09",1,21,3.1846636360432745,12.931972662201575,0.9600000000000001
"11","09",1,21,3.212139518158936,12.954502189225204,1.9650000000000003
"11","09",1,21,3.121596548004315,12.833936163462148,1.03125
"11","09",1,21,2.8233178407606547,10.823357867707369,1.9724999999999997
"11","08",0,15,2.9317044137455754,11.852048403234992,0.96875
"11","08",0,15,2.894477336089966,11.293719630507969,1.255
"11","08",0,15,3.501538892978582,13.665072717487458,1.885
"11","08",1,22,3.65270092226614,13.598346079164495,1.20375
"11","08",1,7,2.919125263763667,11.315038196364291,1.485
"11","08",1,23,2.861196515500897,11.345910385676177,0.91875
"11","08",1,23,3.603015905804585,12.658420112519291,2.1125
"11","08",2,24,3.1332435884160024,13.58660892129452,1.40875
"11","08",2,24,2.8885667343191264,12.30819959181121,1.4875
"11","07",3,26,3.56072202166065,13.796276633397044,3.16875
"11","07",3,9,3.4352704781639507,12.65174054928555,2.89125
"11","07",3,26,2.800718778077269,11.339441436952141,1.125
"11","07",3,9,3.482038900067069,13.415788850751566,0.9775
"11","07",3,4,3.3940035978412944,12.889325228392378,2.52125
"11","07",3,4,3.1319219971166254,13.38359154269493,1.3225
"11","06",1,28,3.284496629702109,13.535551206784083,1.85375
"11","06",1,29,3.787684315073726,14.837335346698843,2.19375
"11","06",1,29,3.10206701274186,11.892402076451157,1.48125
"11","05",1,0,2.951629841068471,13.050129661760039,2.00875
"11","05",1,18,3.117444809769845,11.994031995137181,1.675
"11","05",1,18,2.694696763666032,11.097068688775481,0.96875
"11","05",0,18,3.1031475639677533,12.643038287870354,0.86625
"11","05",0,30,2.894008438818566,12.111232029325848,1.17875
"11","04",0,2,3.085431996407227,12.101223534288833,1.15
"11","04",3,2,3.4592185718727335,13.588729097193857,1.59375
"11","04",3,2,3.268953613807983,12.814899422552191,1.13125
"11","04",3,2,2.874810187409899,11.651638069932442,1.0625
"11","04",3,2,3.056434351344297,12.22707172140587,1.03375
"11","04",3,2,3.4613132750559057,12.137808975999427,2.48125
"11","04",3,2,3.221009939829128,11.691961116749482,1.45
"11","04",3,2,3.221874272796783,11.536498512838865,1.99
"11","04",1,2,3.300589550721692,12.52645803188118,1.35375
"11","04",1,2,3.162793790100064,12.475140649657689,0.9975
"11","04",1,2,2.801448021784398,11.504649913785794,1.34
"11","04",1,2,3.13230177799135,11.657291460553466,0.99
"11","04",1,2,3.150190341355986,12.061738333842266,1.49125
"11","04",1,2,2.6725484542687807,11.289821070186846,1.80875
"11","04",1,2,3.011473788328387,11.203962297085006,1.5775
"11","04",0,2,3.2198820898556626,12.625115099912703,1.03125
"11","03",0,2,3.1000432166483836,11.832757437272306,1.3712499999999999
"11","04",0,2,3.14180370660402,12.034179372610438,1.06625
"11","03",3,2,3.0202018260451706,11.428329140401956,1.2
"11","03",0,2,2.969498825371966,11.314431802478234,0.985
"11","03",0,2,3.393630141627702,11.859775420637863,1.54125
"11","03",0,2,3.413908177013162,12.23229472118415,1.60875
"11","03",3,2,3.4511348326251428,12.14999420848244,1.57875
"11","03",3,2,2.858748046939929,11.518898972773512,1.49375
"11","03",3,2,3.529205321826681,13.303509105907736,1.18375
"11","03",2,0,3.4689706579928163,12.362029585161977,1.17125
"11","03",2,0,2.751866963402571,11.77943358352243,1.5212499999999998
"11","03",2,0,3.8628518901528204,15.184081216078296,2.74125
"11","03",2,0,3.1642574613448398,13.62713370137699,1.04625
"11","03",0,0,2.7127712683170353,11.00447226727886,0.9912499999999999
"11","03",0,0,3.5548038524782712,14.45024803437936,1.00375
"11","02",0,1,3.453980918187561,12.363676895910455,1.9724999999999997
"11","02",0,1,3.6550017979144203,13.42724792182245,2.225
"11","02",0,1,3.4884589632448813,12.978613583079916,2.29
"11","02",3,1,3.8858862827148246,13.667839121112602,3.24125
"11","02",3,1,3.4043416109836784,12.492740189723042,2.4875
"11","02",3,1,3.585376059905296,13.75528738089223,2.12875
"11","02",3,1,2.7478327727054297,11.015631625067135,1.55
"11","02",3,1,3.065355745850513,11.95562271848162,1.39625
"11","02",3,1,2.9047246149830337,11.872955916900825,1.17125
"11","02",2,20,2.9959919455364847,12.140919269232286,1.5125
"11","02",2,1,3.114447924823806,12.32495739094385,1.2225
"11","02",2,1,3.039260662876899,11.976487014472687,1.07125
"11","02",3,1,3.3712293066108723,12.871088309787078,1.84
"11","02",2,1,3.5212085617332294,12.137823022709476,2.7225
"11","02",2,20,3.270046207291983,12.25514996041926,1.31625
"11","02",2,20,2.8845761508167085,11.396133119139577,1.265
"11","02",2,20,2.996358706178578,12.125303346207744,1.3725000000000003
"11","02",0,31,3.1528102164856935,12.846933487592947,1.41625
"11","02",0,31,3.191072463768116,13.270460358056267,1.04625
"11","02",0,31,3.438095238095238,13.092461654265229,1.6187500000000001
"11","01",1,31,2.883951135846547,13.184797178348395,0.94125
"11","01",1,31,2.762739658467419,11.901783091635027,1.09125
"11","01",1,31,2.870905220347599,11.68228229238507,1.6400000000000001
"11","01",1,31,2.8928683255054795,12.03275354310806,1.285
"11","01",1,31,3.0621165955718066,12.301203235712324,1.35375
"11","01",1,31,3.453403927753371,14.03826146883221,1.58125
"11","01",1,31,3.1436076153597936,12.872273788508627,2.365
"11","01",2,31,3.0945337205550176,12.504982631968565,1.20625
"11","01",2,32,3.027882451721242,11.95140020743814,0.9812500000000001
"11","01",2,31,2.971939969709487,12.534319799791044,1.40875
"11","01",0,35,3.157176116132567,12.536855333752234,1.0825
"11","01",0,36,3.7501346761915912,13.891280836025707,1.60875
"10","31",1,2,3.506712267247038,13.018721842556072,1.6937499999999999
"10","31",1,2,3.4561524631427543,13.858747382448126,1.07125
"10","31",1,2,3.4532628597091235,12.729145964531527,2.19125
"10","31",1,2,2.980887393881146,12.267857647624163,1.4125
"10","31",1,2,2.9361140477334615,12.499646663086185,1.44125
