"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"460",460,460,460,2,22,120,28,9658363.65346697
"461",461,461,461,1,24,109,25,6988271.44212129
"462",462,462,462,2,19,31,8,333660.956808795
"463",463,463,463,2,16,52,12,1899126.92028665
"464",464,464,464,1,19,27,7,815525.795973151
"465",465,465,465,2,11,101,24,5848979.99819439
"466",466,466,466,2,26,72,17,4306612.53607746
"467",467,467,467,1,16,56,13,2779530.4582102
"468",468,468,468,1,11,45,11,1607987.36786418
"469",469,469,469,2,28,91,21,6083545.33507619
"470",470,470,470,1,16,85,20,5880588.8002431
"471",471,471,471,2,17,9,3,8.88892164723007
"472",472,472,472,2,9,143,33,10954800.6959554
"473",473,473,473,1,9,23,6,323588.22646002
"474",474,474,474,1,5,97,23,6256430.04369125
"475",475,475,475,2,4,107,25,8256856.59513038
"476",476,476,476,2,28,143,33,10703351.6395719
"477",477,477,477,1,25,123,29,9144184.99584891
"478",478,478,478,2,26,144,33,10628083.3315654
"479",479,479,479,1,21,100,23,6639352.84472266
"480",480,480,480,1,12,65,15,3185343.51234836
"481",481,481,481,2,6,51,12,2421668.69064515
"482",482,482,482,2,19,28,7,124473.374263476
"483",483,483,483,2,17,137,32,10611964.2465755
"484",484,484,484,1,3,50,12,1928154.35775192
"485",485,485,485,2,27,49,12,960854.693239388
"486",486,486,486,1,5,128,30,9557177.27076019
"487",487,487,487,2,25,121,28,9587283.37859705
"488",488,488,488,1,13,58,14,3657764.61126592
"489",489,489,489,1,19,102,24,5689486.83934685
"490",490,490,490,2,1,107,25,7970341.86096721
"491",491,491,491,2,20,148,34,11110977.3371612
"492",492,492,492,1,28,75,18,4755797.8392584
"493",493,493,493,2,14,144,33,11610900.3122759
"494",494,494,494,2,29,42,10,854078.590107214
"495",495,495,495,2,14,23,6,106487.881576312
"496",496,496,496,2,20,128,30,10191068.6416893
"497",497,497,497,2,14,113,26,8594388.11013064
"498",498,498,498,2,7,2,1,0
"499",499,499,499,1,11,60,14,3678025.06159132
"500",500,500,500,2,17,115,27,8736785.77039694
"501",501,501,501,2,25,48,11,798023.916894443
"502",502,502,502,1,23,139,32,11323776.3960139
"503",503,503,503,1,23,41,10,1926114.31901502
