"","algorithm","replicate","instance","group","result"
"817",1,24,46,11,2277616.48890674
"818",2,3,59,14,3970167.57937952
"819",2,3,82,19,5492482.22678612
"820",2,7,94,22,4666343.46593965
"821",2,29,80,19,5812049.09905837
"822",2,25,37,9,516625.277704372
"823",1,24,148,34,11641717.9066618
"824",2,21,113,26,7409823.19570276
"825",2,2,67,16,4190435.71857012
"826",2,2,136,32,10887516.3294699
"827",2,17,147,34,11858808.713813
"828",2,9,70,16,4029731.93717389
"829",2,28,149,34,11531818.1227812
"830",1,10,96,22,5251911.87666128
"831",1,15,81,19,5180090.18091528
"832",2,7,150,35,11861124.5721435
"833",2,9,30,7,102596.125250596
"834",1,8,45,11,1650992.61997769
"835",2,18,8,2,4.67855872296605
"836",2,1,50,12,1294892.64042907
"837",2,30,134,31,9273280.93259163
"838",2,9,112,26,7143357.24196056
"839",2,21,133,31,9623600.22133953
"840",2,16,137,32,10763500.2294277
"841",2,1,115,27,7613756.65359146
"842",1,23,98,23,7067846.02263021
"843",2,17,14,4,315.564867129343
"844",2,9,126,29,10405549.6503024
"845",1,23,51,12,2397062.11918147
"846",2,13,122,28,7691979.24730773
"847",2,25,25,6,313340.161332238
"848",2,21,126,29,9865913.01393534
"849",2,13,53,13,2367904.78446231
"850",2,20,27,7,155138.506424491
"851",2,26,57,14,2596564.19490032
"852",2,2,52,12,2591140.63753249
"853",2,20,110,26,7173886.5810461
"854",2,6,67,16,3986612.669065
"855",2,23,10,3,6.56017274815536
"856",2,26,70,16,3403832.65071361
"857",1,25,104,24,6935750.64503611
"858",1,12,28,7,749445.888938541
"859",2,25,70,16,4735441.61677986
"860",2,30,97,23,6051202.29621814
"861",2,26,30,7,210772.302224108
"862",1,6,18,5,328729.125915183
"863",1,21,147,34,12576646.7347853
"864",1,7,10,3,28717.0632424624
"865",1,28,84,20,5788313.99808685
"866",2,11,63,15,3757346.51689844
"867",1,12,81,19,5026275.75888024
"868",1,14,42,10,1580744.76093661
"869",2,17,33,8,272764.295709223
"870",1,22,14,4,148066.278218077
"871",2,20,26,6,50508.1160125073
"872",2,30,123,29,9197812.29281956
"873",1,19,19,5,250052.595943811
"874",2,18,142,33,10896508.3618898
"875",1,11,129,30,9359452.12288693
"876",1,13,67,16,3505092.43427346
"877",2,23,99,23,7266446.73617154
"878",2,25,137,32,9693992.74455414
"879",2,24,49,12,884530.313211489
"880",1,4,33,8,855192.900577605
"881",1,7,86,20,5991131.43346648
"882",2,13,34,8,433032.246827669
"883",2,16,133,31,8711005.06768506
"884",1,26,121,28,8723220.48982938
"885",2,21,13,3,431.842526825528
"886",2,14,45,11,1276739.96840119
"887",2,28,69,16,4156133.64019997
"888",1,13,83,19,5349120.45513205
"889",2,20,6,2,0.0199666091404565
"890",2,11,57,14,3563210.41068522
"891",1,3,72,17,4262599.62492894
"892",2,17,73,17,4621405.59245338
"893",1,16,45,11,2599956.19748543
"894",2,13,97,23,6763310.02237738
"895",1,14,18,5,293073.424716183
"896",2,9,83,19,5489306.94681123
"897",2,20,23,6,77388.0131249891
"898",2,13,96,22,6781314.95206268
"899",1,23,63,15,3546138.34572092
"900",1,7,29,7,911213.799896805
"901",2,6,44,11,925965.223844832
"902",1,13,122,28,9046714.90406886
"903",1,12,36,9,1628952.24780119
"904",1,1,82,19,4905660.00899809
"905",1,16,101,24,6813437.45971061
"906",1,20,109,25,8211176.90413831
"907",2,29,18,5,86783.876729568
"908",1,11,46,11,2541626.79502354
"909",2,29,98,23,6256151.31387051
"910",2,7,111,26,7291976.60842591
"911",1,12,31,8,1043954.63798412
"912",2,15,4,1,3.94528862223787e-13
"913",1,28,129,30,9149945.64605631
