"","X.1","X","algorithm","replicate","instance","group","result"
"1498",1498,28,1,1,114,28,6413231.51573771
"1499",1499,29,1,1,118,29,8958884.49606863
"1500",1500,30,1,1,122,30,10054729.2937529
"1501",1501,31,1,1,126,31,9232798.34028622
"1502",1502,32,1,1,130,32,10440176.0187102
"1503",1503,33,1,1,134,33,10107165.9116955
"1504",1504,34,1,1,138,34,10652650.5823956
"1505",1505,35,1,1,142,35,10638888.4042678
"1506",1506,1,2,1,6,1,0.0649839089496843
"1507",1507,2,2,1,10,2,158.967233580265
"1508",1508,3,2,1,14,3,90.0846963052832
"1509",1509,4,2,1,18,4,2887.75661835977
"1510",1510,5,2,1,22,5,88671.3340891207
"1511",1511,6,2,1,26,6,457961.095189051
"1512",1512,7,2,1,30,7,343919.755799852
"1513",1513,8,2,1,34,8,449896.264111331
"1514",1514,9,2,1,38,9,1122411.72748027
"1515",1515,10,2,1,42,10,1197113.63430135
"1516",1516,11,2,1,46,11,1208512.68542966
"1517",1517,12,2,1,50,12,2863215.33876227
"1518",1518,13,2,1,54,13,2787465.22333449
"1519",1519,14,2,1,58,14,2187014.7311754
"1520",1520,15,2,1,62,15,3578065.76699725
"1521",1521,16,2,1,66,16,3606480.24638388
"1522",1522,17,2,1,70,17,4350869.78317035
"1523",1523,18,2,1,74,18,3988788.2653558
"1524",1524,19,2,1,78,19,4603724.37000179
"1525",1525,20,2,1,82,20,5345027.57579863
"1526",1526,21,2,1,86,21,4813649.7085937
"1527",1527,22,2,1,90,22,5931734.93045963
"1528",1528,23,2,1,94,23,6871419.44008594
"1529",1529,24,2,1,98,24,6782507.48678309
"1530",1530,25,2,1,102,25,7896806.33652932
"1531",1531,26,2,1,106,26,6716539.90564318
"1532",1532,27,2,1,110,27,7349783.87151384
"1533",1533,28,2,1,114,28,8373860.99210192
"1534",1534,29,2,1,118,29,7692535.45829831
"1535",1535,30,2,1,122,30,8316224.84273075
"1536",1536,31,2,1,126,31,9901506.04042323
"1537",1537,32,2,1,130,32,8571491.0163642
"1538",1538,33,2,1,134,33,9623933.37709915
"1539",1539,34,2,1,138,34,8388386.08882458
"1540",1540,35,2,1,142,35,11037819.8517037
"1541",1541,1,1,1,6,1,282.132786103494
"1542",1542,2,1,1,10,2,18058.0730294188
"1543",1543,3,1,1,14,3,159394.169848104
"1544",1544,4,1,1,18,4,338761.181215224
"1545",1545,5,1,1,22,5,217866.182144627
"1546",1546,6,1,1,26,6,652978.134575289
"1547",1547,7,1,1,30,7,870432.540240256
"1548",1548,8,1,1,34,8,1281936.52707483
"1549",1549,9,1,1,38,9,1622866.05561723
"1550",1550,10,1,1,42,10,1623031.22106028
"1551",1551,11,1,1,46,11,2086689.67768048
"1552",1552,12,1,1,50,12,2593278.0528359
"1553",1553,13,1,1,54,13,3043380.47375516
"1554",1554,14,1,1,58,14,2676138.27572162
"1555",1555,15,1,1,62,15,3183634.0235971
"1556",1556,16,1,1,66,16,4518804.73603381
"1557",1557,17,1,1,70,17,3695694.22213005
"1558",1558,18,1,1,74,18,4509758.28440188
"1559",1559,19,1,1,78,19,4449194.53086019
"1560",1560,20,1,1,82,20,4450026.36179145
"1561",1561,21,1,1,86,21,6059574.55495154
"1562",1562,22,1,1,90,22,5089372.16439676
"1563",1563,23,1,1,94,23,6209672.32795598
"1564",1564,24,1,1,98,24,6330342.49033136
"1565",1565,25,1,1,102,25,7184230.00018165
"1566",1566,26,1,1,106,26,7862962.27129154
"1567",1567,27,1,1,110,27,7989470.003731
"1568",1568,28,1,1,114,28,7954794.57028054
"1569",1569,29,1,1,118,29,9061134.40097813
"1570",1570,30,1,1,122,30,8912055.97448556
"1571",1571,31,1,1,126,31,9644965.29916681
"1572",1572,32,1,1,130,32,9622835.22387932
"1573",1573,33,1,1,134,33,9140981.6779889
"1574",1574,34,1,1,138,34,10152052.1237296
"1575",1575,35,1,1,142,35,10903424.8565908
"1576",1576,1,2,1,6,1,3.97394132319111
"1577",1577,2,2,1,10,2,6.35019125228167
"1578",1578,3,2,1,14,3,1072.85857313097
"1579",1579,4,2,1,18,4,18660.0468163092
"1580",1580,5,2,1,22,5,69350.6435373748
"1581",1581,6,2,1,26,6,296297.85680459
"1582",1582,7,2,1,30,7,127637.482876474
"1583",1583,8,2,1,34,8,617579.024969432
"1584",1584,9,2,1,38,9,651118.831150043
"1585",1585,10,2,1,42,10,693920.835238699
"1586",1586,11,2,1,46,11,1003860.35285445
"1587",1587,12,2,1,50,12,2042619.47062098
