"Algorithm" "Instance" "Observation"
"181" "algo1" "Inst.112" 27890.9193596696
"182" "algo1" "Inst.112" 31642.4624535122
"183" "algo1" "Inst.112" 28239.9604110526
"184" "algo1" "Inst.112" 14558.3934861927
"185" "algo1" "Inst.112" 54616.1180364928
"186" "algo1" "Inst.112" 36560.2772217084
"187" "algo1" "Inst.112" 45288.5083949873
"188" "algo1" "Inst.112" 57749.6536337932
"189" "algo1" "Inst.112" 47462.2579678394
"190" "algo1" "Inst.112" 34999.3265938949
"191" "algo1" "Inst.112" 45213.5856348597
"192" "algo1" "Inst.112" 50207.3238636805
"193" "algo1" "Inst.112" 27180.3301929894
"194" "algo1" "Inst.112" 15510.3617343967
"195" "algo1" "Inst.112" 44317.6951298689
"196" "algo1" "Inst.112" 25700.329572873
"197" "algo1" "Inst.112" 11815.4005018249
"198" "algo1" "Inst.112" 27002.2572925738
"199" "algo1" "Inst.112" 18838.2185744739
"200" "algo1" "Inst.112" 29655.0845451632
"201" "algo1" "Inst.112" 44237.5220094634
"202" "algo1" "Inst.112" 33748.3218965489
"203" "algo1" "Inst.112" 20811.3985757731
"204" "algo1" "Inst.112" 25013.4373183803
"205" "algo1" "Inst.112" 19756.6438243278
"206" "algo1" "Inst.112" 15214.946554203
"207" "algo1" "Inst.112" 18579.7021418838
"208" "algo1" "Inst.112" 12092.7839225384
"209" "algo1" "Inst.112" 24455.0658232358
"210" "algo1" "Inst.112" 28065.0384246192
"211" "algo1" "Inst.112" 12737.4064238082
"212" "algo1" "Inst.112" 11762.8913159816
"213" "algo1" "Inst.112" 33030.163097647
"214" "algo1" "Inst.112" 34412.7562790129
"215" "algo1" "Inst.112" 41766.7074358784
"216" "algo1" "Inst.112" 11568.0928008581
"217" "algo1" "Inst.112" 33809.4132573445
"218" "algo1" "Inst.112" 28324.3389414247
"219" "algo1" "Inst.112" 39392.3159093552
"220" "algo1" "Inst.112" 53222.8973955355
"221" "algo2" "Inst.112" 10.8185856433633
"222" "algo2" "Inst.112" 4.39202675087984
"223" "algo2" "Inst.112" 8.37945858716668
"224" "algo2" "Inst.112" 7.56001380452884
"225" "algo2" "Inst.112" 7.71247668909315
"226" "algo2" "Inst.112" 8.84753654375444
"227" "algo2" "Inst.112" 21.8346774184014
"228" "algo2" "Inst.112" 26.3225391259007
"229" "algo2" "Inst.112" 7.46904123677721
"230" "algo2" "Inst.112" 10.1685840880221
"231" "algo2" "Inst.112" 4.00860564095811
"232" "algo2" "Inst.112" 9.95619009108004
"233" "algo2" "Inst.112" 9.0356963745622
"234" "algo2" "Inst.112" 11.5643461817896
"235" "algo2" "Inst.112" 12.0030529875567
"236" "algo2" "Inst.112" 6.09876920188455
"237" "algo2" "Inst.112" 11.2081097912417
"238" "algo2" "Inst.112" 8.48002361846772
"239" "algo2" "Inst.112" 2.27792997380682
"240" "algo2" "Inst.112" 182.726945414277
"241" "algo1" "Inst.138" 36363.8697212534
"242" "algo1" "Inst.138" 19554.9644759662
"243" "algo1" "Inst.138" 34140.9022763318
"244" "algo1" "Inst.138" 21962.0807040369
"245" "algo1" "Inst.138" 28755.0214481842
"246" "algo1" "Inst.138" 36494.2843905687
"247" "algo1" "Inst.138" 34222.7209935336
"248" "algo1" "Inst.138" 31629.2823227941
"249" "algo1" "Inst.138" 15919.717708005
"250" "algo1" "Inst.138" 60322.3897997571
"251" "algo1" "Inst.138" 20731.7707805744
"252" "algo1" "Inst.138" 35093.5267879361
"253" "algo1" "Inst.138" 16962.4762271131
"254" "algo1" "Inst.138" 32889.4542884519
"255" "algo1" "Inst.138" 19749.457500652
"256" "algo1" "Inst.138" 8794.15291004035
"257" "algo1" "Inst.138" 28058.6611992862
"258" "algo1" "Inst.138" 8224.30327495485
"259" "algo1" "Inst.138" 55118.8022803783
"260" "algo1" "Inst.138" 24651.7486081003
"261" "algo1" "Inst.138" 28258.671912025
"262" "algo1" "Inst.138" 47288.0749402921
"263" "algo1" "Inst.138" 39222.194629329
"264" "algo1" "Inst.138" 5691.20558161764
"265" "algo1" "Inst.138" 48229.5338417623
"266" "algo1" "Inst.138" 20968.67767656
"267" "algo1" "Inst.138" 34817.9298172455
"268" "algo1" "Inst.138" 39242.5922413327
"269" "algo1" "Inst.138" 20411.9534560701
"270" "algo1" "Inst.138" 28458.7892920715
"271" "algo1" "Inst.138" 40100.8461867312
"272" "algo1" "Inst.138" 16506.7468462761
"273" "algo1" "Inst.138" 3742.91752065311
"274" "algo1" "Inst.138" 53996.1538481691
"275" "algo1" "Inst.138" 43014.3092094552
"276" "algo1" "Inst.138" 24792.1950487383
"277" "algo1" "Inst.138" 10277.9186712494
"278" "algo1" "Inst.138" 26896.1441667712
"279" "algo1" "Inst.138" 38793.3641075854
"280" "algo1" "Inst.138" 32682.0528715863
"281" "algo2" "Inst.138" 5.90346005806375
"282" "algo2" "Inst.138" 12.8607307351699
"283" "algo2" "Inst.138" 10.5033902837253
"284" "algo2" "Inst.138" 585.634356870006
"285" "algo2" "Inst.138" 8.4620181995498
"286" "algo2" "Inst.138" 115.951174739626
"287" "algo2" "Inst.138" 70.5682108469202
"288" "algo2" "Inst.138" 29.4101337914897
"289" "algo2" "Inst.138" 9.75521500519613
"290" "algo2" "Inst.138" 8.20059088330367
"291" "algo2" "Inst.138" 7.65866182822427
"292" "algo2" "Inst.138" 29.7353078475064
"293" "algo2" "Inst.138" 18.9633081358494
"294" "algo2" "Inst.138" 10.170229166142
"295" "algo2" "Inst.138" 9.7042464770889
"296" "algo2" "Inst.138" 34.1857180682762
"297" "algo2" "Inst.138" 9.02849322610031
"298" "algo2" "Inst.138" 74.2435675951124
"299" "algo2" "Inst.138" 9.4307664140801
"300" "algo2" "Inst.138" 4.04374380433052
"301" "algo1" "Inst.134" 39564.0021887424
"302" "algo1" "Inst.134" 47173.8831036331
"303" "algo1" "Inst.134" 11459.7780639717
"304" "algo1" "Inst.134" 27612.05908797
"305" "algo1" "Inst.134" 32476.0814467679
"306" "algo1" "Inst.134" 19843.5148440956
"307" "algo1" "Inst.134" 23804.7747703708
"308" "algo1" "Inst.134" 12653.3238189648
"309" "algo1" "Inst.134" 34649.1193530973
"310" "algo1" "Inst.134" 33609.989792558
"311" "algo1" "Inst.134" 16056.2818990082
"312" "algo1" "Inst.134" 40043.0894915009
"313" "algo1" "Inst.134" 14634.7269107987
"314" "algo1" "Inst.134" 22637.25927103
"315" "algo1" "Inst.134" 11379.1030683136
"316" "algo1" "Inst.134" 17975.6548054109
"317" "algo1" "Inst.134" 48736.9408517126
"318" "algo1" "Inst.134" 22368.8318175728
"319" "algo1" "Inst.134" 16412.9376203
"320" "algo1" "Inst.134" 32170.9206567904
"321" "algo1" "Inst.134" 24429.3025802453
"322" "algo1" "Inst.134" 7469.08836335777
"323" "algo1" "Inst.134" 14564.2643444705
"324" "algo1" "Inst.134" 35584.61367754
"325" "algo1" "Inst.134" 16909.3376404175
"326" "algo1" "Inst.134" 26397.9829804162
"327" "algo1" "Inst.134" 21667.8209124452
"328" "algo1" "Inst.134" 40369.2732541652
"329" "algo1" "Inst.134" 23605.2219173447
"330" "algo1" "Inst.134" 27740.9231212737
"331" "algo1" "Inst.134" 30378.5740545128
"332" "algo1" "Inst.134" 9790.87814407109
"333" "algo1" "Inst.134" 21905.018806911
"334" "algo1" "Inst.134" 24454.8881607371
"335" "algo1" "Inst.134" 61881.0824631278
"336" "algo1" "Inst.134" 21422.5755298144
"337" "algo1" "Inst.134" 15947.503166285
"338" "algo1" "Inst.134" 34499.7956084069
"339" "algo1" "Inst.134" 12201.2896777656
"340" "algo1" "Inst.134" 21401.3445128842
"341" "algo2" "Inst.134" 15.4650787842661
"342" "algo2" "Inst.134" 5.63466696515783
"343" "algo2" "Inst.134" 15.42704343523
"344" "algo2" "Inst.134" 54.5090171689921
"345" "algo2" "Inst.134" 8.30321174539839
"346" "algo2" "Inst.134" 11.913344746547
"347" "algo2" "Inst.134" 118.500225272073
"348" "algo2" "Inst.134" 8.360149386084
"349" "algo2" "Inst.134" 85.9749568923414
"350" "algo2" "Inst.134" 7.02477039710046
"351" "algo2" "Inst.134" 114.855048539611
"352" "algo2" "Inst.134" 22.5628632010781
"353" "algo2" "Inst.134" 6.84551625557301
"354" "algo2" "Inst.134" 10.3870487761756
"355" "algo2" "Inst.134" 13.6952875384902
"356" "algo2" "Inst.134" 115.459941554852
"357" "algo2" "Inst.134" 10.0241918331181
"358" "algo2" "Inst.134" 14.4637226656351
"359" "algo2" "Inst.134" 9.249124578531
"360" "algo2" "Inst.134" 9.58506846658335
"361" "algo1" "Inst.133" 9304.92672875665
"362" "algo1" "Inst.133" 9230.75467367815
"363" "algo1" "Inst.133" 14137.9977522534
"364" "algo1" "Inst.133" 21815.1750182892
"365" "algo1" "Inst.133" 15139.2093473718
"366" "algo1" "Inst.133" 31726.4978404002
"367" "algo1" "Inst.133" 22552.1299664595
"368" "algo1" "Inst.133" 35787.8816141111
"369" "algo1" "Inst.133" 17335.1425779463
"370" "algo1" "Inst.133" 21698.5938119364
"371" "algo1" "Inst.133" 45090.4898812402
