"","X","algorithm","replicate","instance","group","result"
"387",387,1,26,48,11,2251446.02004945
"388",388,2,12,49,12,615072.249716974
"389",389,2,27,78,18,4938077.10664944
"390",390,1,3,129,30,10107679.0333676
"391",391,2,10,73,17,4760208.80871121
"392",392,2,5,126,29,8757285.87310194
"393",393,1,7,41,10,1790660.18722622
"394",394,1,2,149,34,10798906.6652037
"395",395,2,19,104,24,7238478.30061675
"396",396,1,29,74,17,4745459.2437553
"397",397,2,20,113,26,9086779.34839246
"398",398,2,17,114,27,8722190.44699429
"399",399,1,11,7,2,2828.5041080747
"400",400,2,13,104,24,7416509.93083813
"401",401,2,20,34,8,202817.286567271
"402",402,1,25,54,13,2984420.86905512
"403",403,1,5,93,22,6615082.80361606
"404",404,1,24,16,4,268347.189089849
"405",405,1,23,130,30,9431144.62215727
"406",406,1,4,93,22,5434363.95757639
"407",407,1,22,19,5,376745.442540441
"408",408,2,27,23,6,79721.4853880903
"409",409,1,15,137,32,11101147.626383
"410",410,1,10,128,30,8884984.98707428
"411",411,2,28,39,9,495209.419324599
"412",412,1,23,19,5,235246.042953769
"413",413,2,24,146,34,11526143.2893557
"414",414,1,9,99,23,6206473.30026843
"415",415,2,14,60,14,3084907.96386259
"416",416,1,17,12,3,98453.2807804932
"417",417,1,11,83,19,5546069.90599706
"418",418,2,6,42,10,854487.590779398
"419",419,1,20,78,18,3739218.55115186
"420",420,1,2,67,16,5146579.74038233
"421",421,2,19,81,19,5663190.31432486
"422",422,1,3,105,24,6948963.99469987
"423",423,1,7,3,1,0.371995037425285
"424",424,1,13,46,11,2354177.22656684
"425",425,2,30,136,32,10903973.593665
"426",426,1,7,6,2,488.070040660458
"427",427,2,9,103,24,6276051.24650986
"428",428,1,11,122,28,8784647.045911
"429",429,1,20,145,34,10322464.5687538
"430",430,2,3,39,9,1004776.01898252
"431",431,1,26,57,14,3028097.72437812
"432",432,2,28,99,23,6296419.43726872
"433",433,2,13,117,27,8557556.65274836
"434",434,1,20,33,8,1010663.6048004
"435",435,1,4,41,10,2097736.84269624
"436",436,2,24,28,7,581763.689644008
"437",437,1,1,69,16,4621007.60425849
"438",438,2,14,25,6,238519.00738675
"439",439,2,17,23,6,95391.7168893524
"440",440,1,27,28,7,720078.171637096
"441",441,2,7,76,18,5131575.2536123
"442",442,1,18,137,32,9865191.7580156
"443",443,2,6,74,17,5575709.3126761
"444",444,2,4,77,18,5319710.6480391
"445",445,1,7,17,4,226952.333239554
"446",446,1,26,112,26,7602801.32830842
"447",447,1,26,101,24,7363131.71649516
"448",448,2,21,50,12,3129239.59463497
"449",449,1,18,5,2,14.4934990009816
"450",450,1,7,87,20,6180436.31847533
"451",451,1,17,88,21,4825992.33725041
"452",452,1,18,78,18,4588763.07357629
"453",453,2,9,13,3,419.72899687754
"454",454,2,10,107,25,6639101.23927101
"455",455,2,27,114,27,8991536.62471259
"456",456,2,22,103,24,7728766.6955515
"457",457,2,30,133,31,10422921.5340207
"458",458,1,27,129,30,9393465.53340023
"459",459,2,2,40,10,784048.624404827
"460",460,2,2,143,33,10385456.8742259
"461",461,1,21,122,28,9806037.08096397
"462",462,2,30,11,3,52.8726231451494
"463",463,1,23,22,6,472833.21490273
"464",464,2,3,61,14,3587548.15905127
"465",465,1,12,30,7,804543.239694445
"466",466,1,8,23,6,493062.911067062
"467",467,2,24,48,11,2796618.44895085
"468",468,1,10,53,13,3246098.45048334
"469",469,2,2,46,11,625743.534746795
"470",470,2,10,74,17,4680568.9632915
"471",471,1,12,95,22,6955942.3584417
"472",472,1,16,42,10,2222360.26380754
"473",473,2,18,46,11,1563107.86975835
"474",474,2,24,55,13,3040640.26262308
"475",475,2,7,27,7,109426.935918533
"476",476,1,14,43,10,2588531.88262378
"477",477,1,30,33,8,1080710.89544605
"478",478,1,28,83,19,5620629.27980236
"479",479,1,18,113,26,7349345.81606212
"480",480,1,1,41,10,1585270.9811951
"481",481,2,30,62,15,3474447.34343106
"482",482,2,7,136,32,10803535.8812151
"483",483,1,18,125,29,9547664.45172647
"484",484,1,1,148,34,12105318.6740395
"485",485,1,7,127,29,9603539.52293701
"486",486,1,26,28,7,710750.351193579
"487",487,1,9,116,27,8592849.69391952
"488",488,2,10,21,5,12750.8492892091
"489",489,2,13,15,4,1355.9075399554
"490",490,1,4,138,32,11751391.5930471
"491",491,1,18,49,12,2751081.93570636
"492",492,1,18,4,1,9.13976881683783
"493",493,2,24,116,27,7684228.0968043
"494",494,1,15,73,17,4593627.82871539
"495",495,1,18,42,10,2740921.57848503
"496",496,1,23,65,15,3655675.8128499
